0, 5.000000 3.000000 1.600000 0.200000 0
1, 5.000000 3.400000 1.600000 0.400000 0
2, 5.200000 3.500000 1.500000 0.200000 0
3, 5.200000 3.400000 1.400000 0.200000 0
4, 4.700000 3.200000 1.600000 0.200000 0
5, 4.800000 3.100000 1.600000 0.200000 0
6, 5.400000 3.400000 1.500000 0.400000 0
7, 5.200000 4.100000 1.500000 0.100000 0
8, 5.500000 4.200000 1.400000 0.200000 0
9, 4.900000 3.100000 1.500000 0.100000 0
10, 5.000000 3.200000 1.200000 0.200000 0
11, 5.500000 3.500000 1.300000 0.200000 0
12, 4.900000 3.100000 1.500000 0.100000 0
13, 4.400000 3.000000 1.300000 0.200000 0
14, 5.100000 3.400000 1.500000 0.200000 0
15, 5.000000 3.500000 1.300000 0.300000 0
16, 4.500000 2.300000 1.300000 0.300000 0
17, 4.400000 3.200000 1.300000 0.200000 0
18, 5.000000 3.500000 1.600000 0.600000 0
19, 5.100000 3.800000 1.900000 0.400000 0
20, 4.800000 3.000000 1.400000 0.300000 0
21, 5.100000 3.800000 1.600000 0.200000 0
22, 4.600000 3.200000 1.400000 0.200000 0
23, 5.300000 3.700000 1.500000 0.200000 0
24, 5.000000 3.300000 1.400000 0.200000 0
25, 6.600000 3.000000 4.400000 1.400000 1
26, 6.800000 2.800000 4.800000 1.400000 1
27, 6.700000 3.000000 5.000000 1.700000 2
28, 6.000000 2.900000 4.500000 1.500000 1
29, 5.700000 2.600000 3.500000 1.000000 1
30, 5.500000 2.400000 3.800000 1.100000 1
31, 5.500000 2.400000 3.700000 1.000000 1
32, 5.800000 2.700000 3.900000 1.200000 1
33, 6.000000 2.700000 5.100000 1.600000 2
34, 5.400000 3.000000 4.500000 1.500000 1
35, 6.000000 3.400000 4.500000 1.600000 1
36, 6.700000 3.100000 4.700000 1.500000 1
37, 6.300000 2.300000 4.400000 1.300000 1
38, 5.600000 3.000000 4.100000 1.300000 1
39, 5.500000 2.500000 4.000000 1.300000 1
40, 5.500000 2.600000 4.400000 1.200000 1
41, 6.100000 3.000000 4.600000 1.400000 1
42, 5.800000 2.600000 4.000000 1.200000 1
43, 5.000000 2.300000 3.300000 1.000000 1
44, 5.600000 2.700000 4.200000 1.300000 1
45, 5.700000 3.000000 4.200000 1.200000 1
46, 5.700000 2.900000 4.200000 1.300000 1
47, 6.200000 2.900000 4.300000 1.300000 1
48, 5.100000 2.500000 3.000000 1.100000 1
49, 5.700000 2.800000 4.100000 1.300000 1
50, 7.200000 3.200000 6.000000 1.800000 2
51, 6.200000 2.800000 4.800000 1.800000 2
52, 6.100000 3.000000 4.900000 1.800000 1
53, 6.400000 2.800000 5.600000 2.100000 2
54, 7.200000 3.000000 5.800000 1.600000 2
55, 7.400000 2.800000 6.100000 1.900000 2
56, 7.900000 3.800000 6.400000 2.000000 2
57, 6.400000 2.800000 5.600000 2.200000 2
58, 6.300000 2.800000 5.100000 1.500000 1
59, 6.100000 2.600000 5.600000 1.400000 1
60, 7.700000 3.000000 6.100000 2.300000 2
61, 6.300000 3.400000 5.600000 2.400000 2
62, 6.400000 3.100000 5.500000 1.800000 2
63, 6.000000 3.000000 4.800000 1.800000 1
64, 6.900000 3.100000 5.400000 2.100000 2
65, 6.700000 3.100000 5.600000 2.400000 2
66, 6.900000 3.100000 5.100000 2.300000 2
67, 5.800000 2.700000 5.100000 1.900000 2
68, 6.800000 3.200000 5.900000 2.300000 2
69, 6.700000 3.300000 5.700000 2.500000 2
70, 6.700000 3.000000 5.200000 2.300000 2
71, 6.300000 2.500000 5.000000 1.900000 2
72, 6.500000 3.000000 5.200000 2.000000 2
73, 6.200000 3.400000 5.400000 2.300000 2
74, 5.900000 3.000000 5.100000 1.800000 1
